city_nm,ksh_cd,city_type_cd,county_nm,district_cd,district_nm,district_seat_nm,area_no,population_no,apartments_no,country_cd,longitude_no,latitude_no
Balmazújváros,2918,város,Hajdú-Bihar,093 1,Balmazújvárosi,Balmazújváros,"20,544",16948,6903,HU,21.343,47.614333
Balogunyom,5102,község,Vas,181 0,Szombathelyi,Szombathely,"1,212",1069,419,HU,16.650333,47.159
Balotaszállás,25937,község,Bács-Kiskun,041 0,Kiskunhalasi,Kiskunhalas,"10,494",1441,726,HU,19.541833,46.351667
Balsa,15963,község,Szabolcs-Szatmár-Bereg,151 0,Ibrányi,Ibrány,"2,252",646,401,HU,21.531667,48.174
Bálványos,24457,község,Somogy,146 0,Siófoki,Siófok,"2,369",550,288,HU,17.953167,46.781
Bana,31422,község,Komárom-Esztergom,112 0,Komáromi,Komárom,"2,511",1503,578,HU,17.919833,47.649333
Bánd,14173,község,Veszprém,191 0,Veszprémi,Veszprém,984,686,267,HU,17.786,47.121667
Bánfa,7603,község,Baranya,033 0,Szigetvári,Szigetvár,"1,206",189,74,HU,17.881667,45.993833
Bánhorváti,25159,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,"2,848",1250,567,HU,20.503167,48.228833
Bánk,24341,község,Nógrád,119 0,Rétsági,Rétság,990,739,406,HU,19.175833,47.923667
Bánokszentgyörgy,8439,község,Zala,195 0,Letenyei,Letenye,"3,254",548,280,HU,16.784333,46.549
Bánréve,21953,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,662,1128,530,HU,20.355833,48.298833
Bár,24378,község,Baranya,027 0,Mohácsi,Mohács,900,553,265,HU,18.7165,46.0525
Barabás,26480,község,Szabolcs-Szatmár-Bereg,159 0,Vásárosnaményi,Vásárosnamény,"3,818",788,377,HU,22.428667,48.231167
Baracs,7047,község,Fejér,078 0,Dunaújvárosi,Dunaújváros,"5,518",3458,1451,HU,18.868,46.914
Baracska,8581,község,Fejér,081 0,Martonvásári,Martonvásár,"3,968",3037,1153,HU,18.757167,47.281
Báránd,26693,község,Hajdú-Bihar,102 0,Püspökladányi,Püspökladány,"4,257",2234,1135,HU,21.280667,47.2555
Baranyahídvég,20464,község,Baranya,030 0,Sellyei,Sellye,849,174,68,HU,,
Baranyajenő,24749,község,Baranya,025 0,Hegyháti,Sásd,"1,555",392,155,HU,18.042667,46.271833
Baranyaszentgyörgy,5485,község,Baranya,025 0,Hegyháti,Sásd,727,110,72,HU,18.008667,46.246
Barbacs,6196,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,"1,365",756,312,HU,17.295833,47.645833
Barcs,32799,város,Somogy,140 1,Barcsi,Barcs,"12,290",9672,4509,HU,17.458333,45.96
Bárdudvarnok,3735,község,Somogy,143 0,Kaposvári,Kaposvár,"4,856",1136,528,HU,17.691333,46.328333
Barlahida,27447,község,Zala,194 0,Lenti,Lenti,610,119,86,HU,16.701667,46.716167
Bárna,20048,község,Nógrád,120 0,Salgótarjáni,Salgótarján,"1,539",915,453,HU,19.935833,48.0995
Barnag,15778,község,Veszprém,191 0,Veszprémi,Veszprém,"1,201",98,68,HU,17.7495,46.98
Bársonyos,8624,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,"1,687",696,306,HU,17.918667,47.508833
Basal,15495,község,Baranya,033 0,Szigetvári,Szigetvár,404,191,79,HU,17.7835,46.074167
Baskó,8846,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,"2,964",155,103,HU,21.336833,48.3425
